Term	UnitsName	UnitsTypeCV	UnitsAbbreviation	UnitsLink	limnoflag	unitabbv
gray	Gray	Absorbed dose	Gy	http://qudt.org/vocab/unit#Gray; http://unitsofmeasure.org/ucum.html#para-30	NA	gy
rad	RAD	Absorbed dose	rad	http://qudt.org/vocab/unit#Rad; http://unitsofmeasure.org/ucum.html#para-33	NA	rad
grayPerSecond	Gray per Second	Absorbed dose rate	Gy/s	http://qudt.org/vocab/unit#GrayPerSecond	NA	gyps
ban	Ban	Amount of information	ban	http://qudt.org/vocab/unit#Ban	NA	ban
bit	Bit	Amount of information	bit	http://qudt.org/vocab/unit#Bit; http://unitsofmeasure.org/ucum.html#para-48	NA	bit
byte	Byte	Amount of information	By	http://qudt.org/vocab/unit#Byte; http://unitsofmeasure.org/ucum.html#para-48	NA	by
nat	Nat	Amount of information	nat	http://qudt.org/vocab/unit#Nat	NA	nat
octet	Octet	Amount of information	octet	http://www.unidata.ucar.edu/software/udunits/	NA	octet
arcMinute	Arc Minute	Angle	arcMin	http://qudt.org/vocab/unit#ArcMinute; http://qudt.org/vocab/unit#MinuteAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	arcmin
arcSecond	Arc Second	Angle	arcSec	http://qudt.org/vocab/unit#ArcSecond; http://qudt.org/vocab/unit#SecondAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	arcsec
circle	Circle	Angle	circ	http://unitsofmeasure.org/ucum.html#para-47; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	circ
cycle	Cycle	Angle	cycle	https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	cycle
degree	Degree	Angle	deg	http://qudt.org/vocab/unit#DegreeAngle; http://unitsofmeasure.org/ucum.html#para-31; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-accepted.xml; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	deg
degreeEast	Degree East	Angle	degE	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	1	dege
degreeMinuteSecond	Degree Minute Second	Angle	dddmmss	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	dddmmss
degreeNorth	Degree North	Angle	degN	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	1	degn
degreeSouth	Degree South	Angle	degS	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	1	degs
degreeTrue	Degree True	Angle	degT	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	degt
degreeWest	Degree West	Angle	degW	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	1	degw
gon	Gon	Angle	gon	http://qudt.org/vocab/unit#Gon; http://unitsofmeasure.org/ucum.html#para-31	NA	gon
grad	Grad	Angle	grad	http://qudt.org/vocab/unit#Grad	NA	grad
milAngle(Nato)	Mil Angle (Nato)	Angle	mil	http://qudt.org/vocab/unit#MilAngle	NA	mil
radian	Radian	Angle	rad	http://qudt.org/vocab/unit#Radian; http://unitsofmeasure.org/ucum.html#para-28; http://www.unidata.ucar.edu/software/udunits/	NA	rad
revolution	Revolution	Angle	rev	http://qudt.org/vocab/unit#Revolution; http://www.unidata.ucar.edu/software/udunits/	NA	rev
rotation	Rotation	Angle		http://www.unidata.ucar.edu/software/udunits/	NA	
turn	Turn	Angle		http://www.unidata.ucar.edu/software/udunits/	NA	
degreePerSecondSquared	Degree per Second Squared	Angular acceleration	deg/(s^2)	http://qudt.org/vocab/unit#DegreePerSecondSquared	NA	degps2
radianPerSecondSquared	Radian per Second Squared	Angular acceleration	rad/s^2	http://qudt.org/vocab/unit#RadianPerSecondSquared	NA	radps2
revolutionPerSecondSquared	Revolution per Second Squared	Angular acceleration		http://qudt.org/vocab/unit#RevolutionPerSecondSquared	NA	
kilogramMeterSquared	Kilogram Meter Squared	Angular mass	kg-m^2	http://qudt.org/vocab/unit#KilogramMeterSquared	NA	kgm2
electronvoltSecond	ElectronVolt Second	Angular momentum	eV s	http://qudt.org/vocab/unit#ElectronVoltSecond	NA	evs
ergSecond	Erg Second	Angular momentum	erg s	http://qudt.org/vocab/unit#ErgSecond	NA	ergs
footPoundForceSecond	Foot Pound Force Second	Angular momentum	lbf*s	http://qudt.org/vocab/unit#FootPoundForceSecond	NA	lbfs
jouleSecond	Joule Second	Angular momentum	J s	http://qudt.org/vocab/unit#JouleSecond	NA	js
newtonMeterSecond	Newton Meter Second	Angular momentum	Nms		NA	nms
degreePerHour	Degree per Hour	Angular velocity or frequency	deg/h	http://qudt.org/vocab/unit#DegreePerHour	NA	degph
degreePerMinute	Degree per Minute	Angular velocity or frequency	deg/min	http://qudt.org/vocab/unit#DegreePerMinute	NA	degpmin
degreePerSecond	Degree per Second	Angular velocity or frequency	deg/s	http://qudt.org/vocab/unit#DegreePerSecond	NA	degps
radianPerHour	Radian per Hour	Angular velocity or frequency	rad/h	http://qudt.org/vocab/unit#RadianPerHour	NA	radph
radianPerMinute	Radian per Minute	Angular velocity or frequency	rad/m	http://qudt.org/vocab/unit#RadianPerMinute	NA	radpm
radianPerSecond	Radian per Second	Angular velocity or frequency	rad/s	http://qudt.org/vocab/unit#RadianPerSecond	NA	radps
revolutionPerHour	Revolution per Hour	Angular velocity or frequency	rev/h	http://qudt.org/vocab/unit#RevolutionPerHour	NA	revph
revolutionPerMinute	Revolution per Minute	Angular velocity or frequency	rev/min	http://qudt.org/vocab/unit#RevolutionPerMinute	NA	revpmin
revolutionPerSecond	Revolution per Second	Angular velocity or frequency	rev/s	http://qudt.org/vocab/unit#RevolutionPerSecond	NA	revps
rotationPerMinute	Rotation per Minute	Angular velocity or frequency	rpm	http://www.unidata.ucar.edu/software/udunits/	NA	rpm
rotationPerSecond	Rotation per Second	Angular velocity or frequency	rps	http://www.unidata.ucar.edu/software/udunits/	NA	rps
acre	Acre	Area	acr_us	http://qudt.org/vocab/unit#Acre	NA	acrus
acre,British	Acre, British	Area	acr_br	http://unitsofmeasure.org/ucum.html#para-36	NA	acrbr
are	Are	Area	ar	http://qudt.org/vocab/unit#Are	NA	ar
barn	Barn	Area	b	http://qudt.org/vocab/unit#Barn	NA	b
circularMil	Circular Mil	Area	cml_i	http://qudt.org/vocab/unit#CircularMil	NA	cmli
darcy	Darcy	Area	D	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	d
hectare	Hectare	Area	ha	http://qudt.org/vocab/unit#Hectare	1	ha
planckArea	Planck Area	Area		http://qudt.org/vocab/unit#PlanckArea	NA	
section	Section	Area	sct	http://unitsofmeasure.org/ucum.html#para-35	NA	sct
squareCentimeter	Square Centimeter	Area	cm^2	http://qudt.org/vocab/unit#SquareCentimeter	1	cm2
squareFoot	Square Foot	Area	sft_i	http://qudt.org/vocab/unit#SquareFoot; http://unitsofmeasure.org/ucum.html#para-34	NA	sfti
squareInch	Square Inch	Area	sin_i	http://qudt.org/vocab/unit#SquareInch; http://unitsofmeasure.org/ucum.html#para-34	NA	sini
squareKilometer	Square Kilometer	Area	km^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	km2
squareMeter	Square Meter	Area	m^2	http://qudt.org/vocab/unit#SquareMeter	1	m2
squareMile	Square Mile	Area	smi_us	http://qudt.org/vocab/unit#SquareMile; http://unitsofmeasure.org/ucum.html#para-35	NA	smius
squareRod	Square Rod	Area	srd_us	http://unitsofmeasure.org/ucum.html#para-35	NA	srdus
squareYard	Square Yard	Area	syd_i	http://qudt.org/vocab/unit#SquareYard; http://unitsofmeasure.org/ucum.html#para-34	NA	sydi
township	Township	Area	twp	http://unitsofmeasure.org/ucum.html#para-35	NA	twp
squareMeterSteradian	Square Meter Steradian	Area angle	m^2-sr	http://qudt.org/vocab/unit#SquareMeterSteradian	NA	m2sr
squareMeterPerKilometer	Square Meter per Kilometer	Area per length	m^2/km		NA	m2pkm
squareMeterPerMeter	Square Meter per Meter	Area per length	m^2/m		NA	m2pm
squareFootDegreeFahrenheit	Square Foot Degree Fahrenheit	Area temperature	ft^2-degF	http://qudt.org/vocab/unit#SquareFootDegreeFahrenheit	NA	ft2degf
squareMeterKelvin	Square Meter Kelvin	Area temperature	m^2-K	http://qudt.org/vocab/unit#SquareMeterKelvin	NA	m2k
squareMeterPerKelvin	Square Meter per Kelvin	Area thermal expansion	m^2/K	http://qudt.org/vocab/unit#SquareMeterPerKelvin	NA	m2pk
hourSquareFoot	Hour Square Foot	Area time	hr-ft^2	http://qudt.org/vocab/unit#HourSquareFoot	NA	hrft2
secondSquareFoot	Second Square Foot	Area time	s-ft^2	http://qudt.org/vocab/unit#SecondSquareFoot	NA	sft2
squareCentimeterMinute	Square Centimeter Minute	Area time	cm^2-m	http://qudt.org/vocab/unit#SquareCentimeterMinute	NA	cm2m
squareCentimeterSecond	Square Centimeter Second	Area time	cm^2-s	http://qudt.org/vocab/unit#SquareCentimeterSecond	NA	cm2s
squareFootHourDegreeFahrenheit	Square Foot Hour Degree Fahrenheit	Area time temperature	ft^2-hr-degF	http://qudt.org/vocab/unit#SquareFootHourDegreeFahrenheit	NA	ft2hrdegf
squareFootSecondDegreeFahrenheit	Square Foot Second Degree Fahrenheit	Area time temperature	ft^2-s-degF	http://qudt.org/vocab/unit#SquareFootSecondDegreeFahrenheit	NA	ft2sdegf
katal	Katal	Catalytic activity	kat	http://qudt.org/vocab/unit#Katal; http://unitsofmeasure.org/ucum.html#para-45; http://www.unidata.ucar.edu/software/udunits/	NA	kat
unit	Unit	Catalytic activity	U	http://unitsofmeasure.org/ucum.html#para-45	NA	u
admiColorUnit	Admi Color Unit	Color	ADMI	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	admi
hazen	Hazen	Color	HU	http://environment.data.gov.au/def/unit/Hazen	1	hu
platinumCobaltUnit	Platinum Cobalt Unit	Color	PCU	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	pcu
micromolePerMole	Micromole per Mole	Concentration count per count	umol/mol	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	umolpmol
millimolePerMole	Millimole per Mole	Concentration count per count	mmol/mol	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	mmolpmol
molePercent	Mole percent	Concentration count per count	mol%	http://environment.data.gov.au/def/unit/MolPercent; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	molperc
molePerMole	Mole per Mole	Concentration count per count	mol/mol	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	molpmol
centimolePerKilogram	Centimole per Kilogram	Concentration count per mass	cmol/kg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	cmolpkg
countPerGram	Count per Gram	Concentration count per mass	#/g		NA	npg
micromolePerKilogram	Micromole per Kilogram	Concentration count per mass	µmol/kg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	µmolpkg
millimolePerKilogram	Millimole per Kilogram	Concentration count per mass	mmol/kg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mmolpkg
milliosmolePerKilogram	Milliosmole per Kilogram	Concentration count per mass	mOsm/kg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mosmpkg
molePerKilogram	Mole per Kilogram	Concentration count per mass	mol/kg	http://qudt.org/vocab/unit#MolePerKilogram	NA	molpkg
molePerTonne	Mole per Tonne	Concentration count per mass	mol/tonne	http://environment.data.gov.au/def/unit/MolePerTonne	NA	molptonne
mostProbableNumberPerGram	Most Probable Number per Gram	Concentration count per mass	MPN/g	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mpnpg
nanomolePerKilogram	Nanomole per Kilogram	Concentration count per mass	nmol/kg	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	nmolpkg
countPer100Gallon	Count per 100 Gallon	Concentration count per volume	#/100 gal	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	np100gal
countPer100Liter	Count per 100 Liter	Concentration count per volume	#/100 L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	np100l
countPer100Milliliter	Count per 100 Milliliter	Concentration count per volume	#/100 mL	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	np100ml
countPer10Liter	Count per 10 Liter	Concentration count per volume	#/10 L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	np10l
countPer500Milliliter	Count per 500 Milliliter	Concentration count per volume	#/500 ml	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	np500ml
countPerCubicMeter	Count per Cubic Meter	Concentration count per volume	#/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	npm3
countPerDeciliter	Count per Deciliter	Concentration count per volume	#/dl		NA	npdl
countPerHalfCubicFoot	Count per Half Cubic Foot	Concentration count per volume	#/((ft^3)/2)	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	npft3p2
countPerLiter	Count per Liter	Concentration count per volume	#/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	npl
countPerMilliliter	Count per Milliliter	Concentration count per volume	#/ml		NA	npml
internationalUnitPerLiter	International Unit per Liter	Concentration count per volume	IU/L	http://qudt.org/vocab/unit#InternationalUnitPerLiter	NA	iupl
micromolePerLiter	Micromole per Liter	Concentration count per volume	µmol/L; µM	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	µmolpl;µm
millimolar	Millimolar	Concentration count per volume	mM	http://environment.data.gov.au/def/unit/MilliMolar; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mm
millimolePerCubicMeter	Millimole per Cubic Meter	Concentration count per volume	mmol/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	mmolpm3
molar	Molar	Concentration count per volume	M		1	m
molePerCubicMeter	Mole per Cubic Meter	Concentration count per volume	mol/m^3	http://qudt.org/vocab/unit#MolePerCubicMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	molpm3
molePerLiter	Mole per Liter	Concentration count per volume	mol/L		1	molpl
mostProbableNumberPer100Liter	Most Probable Number per 100 Liter	Concentration count per volume	MPN/100 L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mpnp100l
mostProbableNumberPer100Milliliter	Most Probable Number per 100 Milliliter	Concentration count per volume	MPN/100 ml	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mpnp100ml
nanomolePerLiter	Nanomole per Liter	Concentration count per volume	nmol/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	nmolpl
normal	Normal	Concentration count per volume	N	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	n
grainPerGallon	Grain per Gallon	Concentration or density mass per volume	gr/gal	http://qudt.org/vocab/unit#GrainPerGallon	NA	grpgal
gramPerCubicCentimeter	Gram per Cubic Centimeter	Concentration or density mass per volume	g/cm^3	http://environment.data.gov.au/def/unit/GramsPerCubicCentimeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	gpcm3
gramPerCubicMeter	Gram per Cubic Meter	Concentration or density mass per volume	g/m3		NA	gpm3
gramPerLiter	Gram per Liter	Concentration or density mass per volume	g/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	gpl
gramPerMilliliter	Gram per Milliliter	Concentration or density mass per volume	g/mL	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	gpml
kilogramPerCubicMeter	Kilogram per Cubic Meter	Concentration or density mass per volume	kg/m^3	http://qudt.org/vocab/unit#KilogramPerCubicMeter; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	kgpm3
longTonPerCubicYard	Long Ton per Cubic Yard	Concentration or density mass per volume	ton/yd^3	http://qudt.org/vocab/unit#TonLongPerCubicYard	NA	tonpyd3
microgramPerCubicMeter	Microgram per Cubic Meter	Concentration or density mass per volume	µg/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	µgpm3
microgramPerLiter	Microgram per Liter	Concentration or density mass per volume	µg/L	http://environment.data.gov.au/def/unit/MicrogramsPerLitre; http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	µgpl
microgramPerMilliliter	Microgram per Milliliter	Concentration or density mass per volume	µg/mL	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	µgpml
milligramPerCubicMeter	Milligram per Cubic Meter	Concentration or density mass per volume	mg/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mgpm3
milligramPerLiter	Milligram per Liter	Concentration or density mass per volume	mg/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	mgpl
milligramPerMilliliter	Milligram per Milliliter	Concentration or density mass per volume	mg/mL	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	mgpml
nanogramPerCubicMeter	Nanogram per Cubic Meter	Concentration or density mass per volume	ng/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	ngpm3
nanogramPerLiter	Nanogram per Liter	Concentration or density mass per volume	ng/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	1	ngpl
nanogramPerMilliliter	Nanogram per Milliliter	Concentration or density mass per volume	ng/mL	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	ngpml
ouncePerCubicInch	Ounce per Cubic Inch	Concentration or density mass per volume	oz/in^3	http://qudt.org/vocab/unit#OuncePerCubicInch	NA	ozpin3
ouncePerGallon	Ounce per Gallon	Concentration or density mass per volume	oz/gal	http://qudt.org/vocab/unit#OuncePerGallon	NA	ozpgal
picogramPerCubicMeter	Picogram per Cubic Meter	Concentration or density mass per volume	pg/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	pgpm3
picogramPerLiter	Picogram per Liter	Concentration or density mass per volume	pg/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	pgpl
picogramPerMilliliter	Picogram per Milliliter	Concentration or density mass per volume	pg/ml	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	pgpml
planckDensity	Planck Density	Concentration or density mass per volume		http://qudt.org/vocab/unit#PlanckDensity	NA	
poundPerCubicFoot	Pound per Cubic Foot	Concentration or density mass per volume	lb/ft^3	http://qudt.org/vocab/unit#PoundPerCubicFoot	NA	lbpft3
poundPerCubicInch	Pound per Cubic Inch	Concentration or density mass per volume	lb/in^3	http://qudt.org/vocab/unit#PoundPerCubicInch	NA	lbpin3
poundPerCubicMeter	Pound per Cubic Meter	Concentration or density mass per volume	lb/m^3	http://qudt.org/vocab/unit#PoundPerCubicMeter	NA	lbpm3
poundPerCubicYard	Pound per Cubic Yard	Concentration or density mass per volume	lb/yd^3	http://qudt.org/vocab/unit#PoundPerCubicYard	NA	lbpyd3
poundPerGallon	Pound per Gallon	Concentration or density mass per volume	lb/gal	http://qudt.org/vocab/unit#PoundPerGallon	NA	lbpgal
shortTonPerAcreFoot	Short Ton per Acre Foot	Concentration or density mass per volume	ton/ac ft	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	tonpacft
shortTonPerCubicYard	Short Ton per Cubic Yard	Concentration or density mass per volume	ton/yd	http://qudt.org/vocab/unit#TonShortPerCubicYard	NA	tonpyd
slugPerCubicFoot	Slug per Cubic Foot	Concentration or density mass per volume	slug/ft^3	http://qudt.org/vocab/unit#SlugPerCubicFoot	NA	slugpft3
cubicFootPerBarrel	Cubic Foot per Barrel	Concentration volume per volume	ft^3/bbl	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	ft3pbbl
cubicMeterPerCubicMeter	Cubic Meter per Cubic Meter	Concentration volume per volume	m^3/m^3	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	m3pm3
milliliterPerLiter	Milliliter per Liter	Concentration volume per volume	mL/L	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mlpl
percentByVolume	Percent By Volume	Concentration volume per volume	% by vol	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	1	percbyvol
perMilleByVolume	Per Mille By Volume	Concentration volume per volume	‰ by vol	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	‰byvol
count	Count	Count		http://www.unidata.ucar.edu/software/udunits/	1	
event	Event	Count			NA	
internationalUnit	International Unit	Count	IU; iU	http://qudt.org/vocab/unit#InternationalUnit; http://unitsofmeasure.org/ucum.html#para-45	NA	iu;iu
micromole	Micromole	Count	µmol	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	µmol
millimole	Millimole	Count	mmol		NA	mmol
mole	Mole	Count	mol	http://qudt.org/vocab/unit#Mole; http://unitsofmeasure.org/ucum.html#para-30; http://www.unidata.ucar.edu/software/udunits/	NA	mol
mostProbableNumber	Most Probable Number	Count	MPN	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048; http://qwwebservices.usgs.gov/service-domains.html	NA	mpn
number	Number	Count	#	http://qudt.org/vocab/unit#Number	NA	n
osmole	Osmole	Count	osm	http://unitsofmeasure.org/ucum.html#para-45	NA	osm
countPer0.1SquareMeter	Count per 0.1 Square Meter	Count per area	#/0.1 m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	np01m2
countPer1000SquareMeter	Count per 1000 Square Meter	Count per area	#/1000 m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	np1000m2
countPerSquareMeter	Count per Square Meter	Count per area	#/m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	npm2
countPerSquareMillimeter	Count per Square Millimeter	Count per area	#/mm^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	npmm2
countsPerSquareCentimeter	Counts per Square Centimeter	Count per area	#/cm^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	npcm2
dobson	Dobson	Count per area		https://www.unidata.ucar.edu/software/udunits/udunits-current/udunits/udunits2-common.xml	NA	
microeinsteinPerSquareMeter	Microeinstein per Square Meter	Count per area	µE/m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	µepm2
millimoleOfPhotonPerSquareMeter	Millimole of Photon per Square Meter	Count per area	mmol/m^2	http://his.cuahsi.org/mastercvreg/edit_cv11.aspx?tbl=Units&id=1125579048	NA	mmolpm2
lilangeni	Lilangeni	Currency	SZL	http://qudt.org/vocab/unit#Lilangeni	NA	szl
lithuanianLitas	Lithuanian Litas	Currency	LTL	http://qudt.org/vocab/unit#LithuanianLitas	NA	ltl
loti	Loti	Currency	LSL	http://qudt.org/vocab/unit#Loti	NA	lsl
malagasyAriary	Malagasy Ariary	Currency	MGA	http://qudt.org/vocab/unit#MalagasyAriary	NA	mga
malawiKwacha	Malawi Kwacha	Currency	MWK	http://qudt.org/vocab/unit#MalawiKwacha	NA	mwk
malaysianRinggit	Malaysian Ringgit	Currency	MYR	http://qudt.org/vocab/unit#MalaysianRinggit	NA	myr
malteseLira	Maltese Lira	Currency	MTL	http://qudt.org/vocab/unit#MalteseLira	NA	mtl
manat	Manat	Currency	TMM	http://qudt.org/vocab/unit#Manat	NA	tmm
mauritiusRupee	Mauritius Rupee	Currency	MUR	http://qudt.org/vocab/unit#MauritiusRupee	NA	mur
metical	Metical	Currency	MZN	http://qudt.org/vocab/unit#Metical	NA	mzn
mexicanPeso	Mexican Peso	Currency	MXN	http://qudt.org/vocab/unit#MexicanPeso	NA	mxn
mexicanUnidadDeInversion(Udi)(FundsCode)	Mexican Unidad De Inversion (Udi) (Funds Code)	Currency	MXV	http://qudt.org/vocab/unit#MexicanUnidadDeInversion	NA	mxv
millionUsDollars	Million Us Dollars	Currency	Million USD	http://qudt.org/vocab/unit#MillionUSDollars	NA	millionusd
moldovanLeu	Moldovan Leu	Currency	MDL	http://qudt.org/vocab/unit#MoldovanLeu	NA	mdl
moroccanDirham	Moroccan Dirham	Currency	MAD	http://qudt.org/vocab/unit#MoroccanDirham	NA	mad
naira	Naira	Currency	NGN	http://qudt.org/vocab/unit#Naira	NA	ngn
nakfa	Nakfa	Currency	ERN	http://qudt.org/vocab/unit#Nakfa	NA	ern
namibianDollar	Namibian Dollar	Currency	"NAD"	http://qudt.org/vocab/unit#NamibianDollar	NA	nad
nepaleseRupee	Nepalese Rupee	Currency	NPR	http://qudt.org/vocab/unit#NepaleseRupee	NA	npr
